C0003811	cardiac arrhythmia
C0236969	substance-related disorders
C0007166	low cardiac output
C0018674	craniocerebral trauma
C0011848	diabetes insipidus
C0018924	hemarthrosis
C0019069	hemophilia a
C0473767	intramuscular hematoma
C2748540	mucosal bleeding
C0085602	polydipsia
C2228139	primary nocturnal enuresis
C1321132	spontaneous hemorrhage
C0040797	traumatic hemorrhage
C0041948	uremia
C0042974	von willebrand disease
C0497406	overweight
C0267055	erosive esophagitis
C0742250	chemotherapy doxorubicin
C0013089	doxorubicin
C2752299	atp-gated ion channel activity
C0745136	hypertensive emergency
C0020615	hypoglycemia
C0021670	insulinoma
C3270332	cytochrome b6f complex activity
C0085636	photophobia
C1159582	atp synthesis coupled proton transport
C0221392	atrophic vaginitis
C0022783	vulvar lichen sclerosus
C2246544	progesterone receptor binding
C0014458	eosinophilia, tropical
C0013884	filarial elephantiases
C0016085	filariasis
C0392663	infection by wuchereria bancrofti
C0023968	loiasis
C0232588	increased digestive peristalsis
C0746682	musculoskeletal injury trauma
C0036980	shock, cardiogenic
C0236018	aura
C0015624	fanconi syndrome
C0029442	osteomalacia
C0033806	pseudohypoparathyroidism
C0221468	vitamin d-dependent rickets
C0162835	hypopigmentation disorder
C0242488	acute lung injury
C0013370	amebic colitis
C0860230	amoebic enteritis
C0231221	asymptomatic
C2721695	entamoebic histolytica infection
C0274944	gold poisoning
C0023176	lead poisoning
C0025427	mercury poisoning
C0546127	mercury poisoning, nervous system
C1291077	abdominal bloating
C0424489	chapping of lips
C0460139	pressure (finding)
C0598629	hydrophobicity
C0013182	drug allergy
C1504346	pruritus allergic
C0457226	uneffaced cervix
C2931618	gestational trophoblastic disease
C0549315	hydatidiform mole, benign
C0000814	missed abortion
C0009450	communicable diseases
C0022890	labyrinthine disorder
C0259765	labyrinthine vertigo
C0494559	diseases of inner ear
C0271428	disorder of middle ear
C0013447	ear diseases
C0155501	vertigo, peripheral
C0585186	cutaneous hypersensitivity
C0521856	reversal of opiate activity
C1149733	adenosine deaminase activity
C1096119	cardiac valve replacement complication
C0442886	secondary infections
C0206171	community-acquired infections
C0750197	sustained ventricular tachycardia
C0559106	ventricular pre-excitation
C0033036	atrial premature complexes
C0848911	chronic alcohol problem
C0038738	sulfhydryl reagents
C1961112	heart decompensation
C0747057	heart; disease (organic)
C1654637	androgen independent prostate cancer
C3495949	locally advanced breast cancer
C0007131	non-small cell lung carcinoma
C0677984	locally advanced malignant neoplasm
C0278987	non-small cell lung cancer metastatic
C0018671	head and neck neoplasms
C0030297	pancreatic neoplasm
C1257832	taxoids
C2242996	has tingling sensation
C1397116	facial; herpes
C0744880	herpes episode
C0747043	oral herpes recurrent
C0276223	recurrent herpes simplex
C0741293	atrial flutter recurrent
C0232202	normal sinus rhythm
C0741282	recurrent atrial fibrillation
C0232493	epigastric pain
C1299916	endotoxicosis
C0035078	kidney failure
C0018794	heart block
C0030500	parasitic diseases, animal
C0865850	acute respiratory insufficiency
C0020440	hypercapnia
C0035228	respiratory hypersensitivity
C0035229	respiratory insufficiency
C0020507	hyperplasia
C0749941	urinary obstructive symptoms
C2937421	prostatic hyperplasia
C2316787	chronic kidney disease stage 3
C2317473	chronic kidney disease stage 4
C0877567	mycobacterium fortuitum infection
C0032227	pleural effusion disorder
C0039128	syphilis
C0312416	morning sickness
C0206245	amyloid neuropathies, familial
C1857221	fainting spells
C0020649	hypotension
C0393571	multiple system atrophy
C1400301	hypotension; orthostatic, neurogenic
C1400300	hypotension; neurogenic
C0740447	diabetic peripheral neuropathy
C0016053	fibromyalgia
C0042025	urinary stress incontinence
C2254641	steroid 5-alpha reductase activity
C0426732	large prostate
C0017921	glycogen storage disease type ii
C0000809	abortion, habitual
C1411363	pregnancy; previous habitual abortion
C0156404	irregular periods
C1328444	progesterone decreased
C0156543	unspecified abortion
C0582415	acute asthma
C0677659	gastro-esophageal reflux disease with esophagitis
C1274037	cardiothoracic surgery specialty
C1149590	plasma kallikrein activity
C0154947	anatomical narrow angle glaucoma
C0154945	intermittent angle-closure glaucoma
C0022078	iris diseases
C0420587	procedure contraindicated
C1274476	tinea due to microsporum audouinii
C1274485	tinea due to microsporum gypseum
C0019054	hemolysis (disorder)
C0024790	paroxysmal nocturnal hemoglobinuria
C0041671	attention deficit disorder
C0270942	myasthenic crisis
C1515119	systemic therapy
C1373120	non-nucleoside reverse transcriptase inhibitors
C0020555	hypertrichosis
C0041228	african trypanosomiasis
C0042133	uterine fibroids
C0215136	taxane
C0085078	lysosomal storage diseases
C1150296	integrase activity
C0009765	conjunctivitis, acute hemorrhagic
C0015655	fascioloidiasis
C0341439	chronic liver disease
C0239946	fibrosis, liver
C0019158	hepatitis
C1373111	nucleoside reverse transcriptase inhibitors
C0237314	irregular heart beat
C1301639	pain during labor and delivery
C0007876	cesarean section
C0566690	vaginal delivery (finding)
C0038218	status asthmaticus
C1721020	virus membrane fusion
C1096729	enterobacter cloacae infection
C0812378	gonococcal cervicitis
C1142267	staphylococcus saprophyticus infection
C1096572	staphylococcus epidermidis infection
C0241832	cerebrovascular insufficiency
C0232539	gastric secretion function
C0001249	actinobacillus infections
C1449809	bovine respiratory disease complex
C1260911	infection by pasteurella multocida
C1720185	infection due to mannheimia haemolytica
C0595887	phosphorus, decreased level
C1700944	streptococcus suis infection
C0039006	swine diseases
C1152309	catechol-o-methyltransferase activity
C0033038	premature ejaculation
C0948349	respiratory tract congestion
C0086045	mental concentration
C0304402	stimulant
C0302476	anterior pituitary hypofunction
C0581124	mild asthma
C0232292	chest tightness
C0013404	dyspnea
C0001883	airway obstruction
C0036983	septic shock
C1264217	neoplasm of axillary lymph nodes
C2700378	ejection fraction (finding)
C1277187	left ventricular systolic dysfunction
C1882087	new york heart association class iv
C0152171	idiopathic pulmonary hypertension
C0011644	scleroderma
C2945704	conventional treatment
C0034150	purpura
C0035126	reperfusion injury
C0854265	post abortion haemorrhage
C0042331	migraine variant
C0346647	malignant neoplasm of pancreas
C0854776	pancreatic carcinoma non-resectable
C0346976	secondary malignant neoplasm of pancreas
C0000817	abortion, septic
C0744130	diabetic foot infection
C0269050	endomyometritis
C1112472	aeromonas hydrophila infection
C0851848	aeromonas infections
C0276083	columnaris disease
C0016154	fish diseases
C0276038	finrot
C1096261	flavobacterium infection
C0149959	acute pelvic inflammatory disease
C0518948	chlamydia trachomatis infection
C1112709	non-gonococcal urethritis (ngu)
C2931317	primary syphilis
C0014752	erythrasma
C0017160	gastroenteritis
C0039239	sinus tachycardia
C0014868	esophagitis
C0541798	early awakening
C0393760	initial insomnia
C0860510	nocturnal awakening
C1384606	dyspareunia
C0013428	dysuria
C0426317	genitourinary symptoms
C0241633	vaginal dryness
C0236083	burning feeling vagina
C0042256	pruritus of vagina
C0948140	urinary bladder atrophy
C0424575	general body state finding
C0949062	perimenopausal symptoms
C0747771	postmenopausal syndrome
C2754661	cellular response to hypoxia
C0278883	metastatic melanoma
C0041327	tuberculosis, pulmonary
C0679362	tuberculosis, extrapulmonary
C0149958	complex partial seizures
C0014556	epilepsy, temporal lobe
C0494475	tonic - clonic seizures
C0020209	hydantoins
C2092204	aminophylline injection
C0029396	heterotopic ossification
C0007786	brain ischemia
C0085094	closed head injuries
C0009886	contraceptive devices
C0149925	small cell carcinoma of lung
C1377904	cancer of the testis, refractory
C1621958	glioblastoma multiforme
C0023470	myeloid leukemia
C0019618	histiocytosis
C0041182	trophoblastic neoplasms
C0457949	chronic low back pain
C0741923	cardiac event
C0279754	estrogen receptor positive
C0039286	tamoxifen
C0020445	hypercholesterolemia, familial
C2945742	cholesterol absorption
C1153087	potassium channel regulator activity
C1828412	acute herpes zoster neuropathy
C1274323	recurrent genital herpes simplex
C2194036	antacid combinations
C0018891	helminthiasis, animal
C0002874	aplastic anemia
C0085605	liver failure
C0009940	convalescence
C0742985	debilitation
C0023380	lethargy
C0235198	unable to concentrate
C0006370	bulimia
C1839869	elevated total cholesterol
C2936462	fibric acids
C0743496	end organ damage
C0701159	patient in hospital
C0024437	macular degeneration
C2721580	breakthrough cancer pain
C0577053	lesion of liver
C0024485	magnetic resonance imaging
C0853882	reticuloendothelial dysfunction
C2917410	paramagnetic contrast agent
C2247630	rna polymerase activity
C0343386	clostridium difficile infection
C0235952	diarrhea, clostridium difficile
C1150621	granulocyte macrophage colony-stimulating factor receptor activity
C0162311	androgenetic alopecia
C0033575	prostatic diseases
C0019572	hirsutism
C3271729	sphingosine-1-phosphate receptor activity
C0476293	urinary system symptoms
C0241310	suprapubic pain
C1394501	cystourethritis
C0021167	incontinence
C0028734	nocturia
C0268830	urethrotrigonitis
C0042024	urinary incontinence
C0752303	urological manifestations
C0340477	re-entrant atrioventricular tachycardia
C0334277	adenocarcinoma, metastatic
C0345904	malignant neoplasm of liver
C0005716	blastomycosis
C0006845	candidiasis, chronic mucocutaneous
C0009186	coccidioidomycosis
C0085082	fungemia
C0019655	histoplasmosis
C0085436	meningitis, cryptococcal
C0153254	candidal endocarditis
C0349009	candidal septicemia
C0010414	infection by cryptococcus neoformans
C0343866	other urogenital candidiasis
C0748116	pulmonary cryptococcus
C0008582	chromoblastomycosis
C0024116	lung diseases, fungal
C1411314	salt-losing; syndrome, adrenogenital
C0271738	secondary hypocortisolism
C0282402	hormone replacement therapy
C0572933	benzodiazepine overdose
C0278134	absence of sensation
C0261856	benzodiazepine-based tranquilizers causing adverse effects in therapeutic use
C1385232	vascular; disorder, peripheral (occlusive)
C1322281	seasonal rhinitis
C0699790	colon carcinoma
C0235974	pancreatic carcinoma
C0007113	rectal carcinoma
C0699791	stomach carcinoma
C0750952	biliary tract cancer
C0007095	carcinoid tumor
C0302592	cervix carcinoma
C0007102	malignant tumor of colon
C0546837	malignant neoplasm of esophagus
C0577305	multiple lesions
C0007117	basal cell carcinoma
C0034885	rectal neoplasms
C2267227	bulimia nervosa
C0278493	breast cancer recurrent
C0850826	localized skin lesion
C0745348	intermittency
C1277595	poor sleep pattern
C0006444	bursitis
C1626415	intraoperative miosis
C0037578	soft tissue injuries
C0039503	tendinitis
C0024440	macular edema, cystoid
C0026205	miosis disorder
C1816386	alcohol dehydrogenase (nad) activity
C0413194	ethylene glycol poisoning (disorder)
C0161680	toxic effect of methyl alcohol
C0019004	hemodialysis
C0042790	vision disorders
C0026381	molecular probes
C0079925	oligonucleotides, antisense
C2048814	increased foot odor
C0424557	sweaty feet
C1273489	asthma night-time symptoms
C1846547	herpes simplex virus infection, mucocutaneous
C0730345	microalbuminuria
C0311335	grand mal status epilepticus
C0398650	immune thrombocytopenic purpura
C1149503	integrin binding
C0010043	corneal ulcer
C0015401	eye foreign bodies
C0549398	meibomianitis
C1800706	idiopathic pulmonary fibrosis
C1150103	methionine aminopeptidase activity
C0040921	trichomonas infections
C0849784	bacterial diarrhoea
C0276774	protozoal intestinal disease
C0152516	bacterial enteritis
C0036118	salmonella infections, animal
C0354100	loop diuretics
C0032768	postherpetic neuralgia
C0349231	phobic anxiety disorder
C0917798	cerebral ischemia
C0742468	central nervous system lesion
C0412366	scanning or imaging with vascular flow
C0581296	intracranial lesion
C1112362	blood brain barrier defect
C1402316	lesion; vascular, central nervous system
C0006111	brain diseases
C0007820	cerebrovascular disorders
C0263978	disorder of soft tissue
C0241657	vascular abnormalities
C2123631	magnetic resonance imaging of abdomen: nonspecific abnormality of liver
C0400923	vascular disorder of liver
C0493823	ultrasound contrast media
C0679228	diagnostic criteria
C1270972	mild cognitive disorder
C0026709	mucopolysaccharidosis vi
C0019357	keratitis, herpetic
C0333303	dendritic ulcer
C0276253	cytomegaloviral pneumonia
C0877424	disseminated cytomegalovirus infection
C0085393	immunocompromised host
C0085083	ovarian hyperstimulation syndrome
C0010153	corynebacterium infections
C0034428	quinolones
C0006935	capsule (pharmacologic)
C2265686	hsp90 protein inhibitor activity
C0281361	adenocarcinoma pancreas
C0278489	stage iiia breast carcinoma
C0278513	stage iiib breast carcinoma
C0887833	carcinoma, pancreatic ductal
C0030305	pancreatitis
C0442804	very high
C3267202	multidrug resistant streptococcus pneumoniae infection
C0155862	streptococcal pneumonia
C0023479	acute myelomonocytic leukemia
C0574785	lower urinary tract symptoms
C0751967	multiple sclerosis, relapsing-remitting
C0038766	sulfonylurea compounds
C0271650	impaired glucose tolerance
C0151763	liver damage
C2260152	serine hydroxymethyltransferase activity
C0519503	transurethral surgical procedures
C0242901	glycine agents
C0593225	irrigation solution
C2256863	5-enolpyruvylshikimate-3-phosphate synthase activity
C1400195	pituitary; impaired function
C0032019	pituitary neoplasms
C0034012	delayed puberty
C0034013	precocious puberty
C0520911	radiation-induced nausea and vomiting
C0263233	cradle cap
C1096232	microsporum infection
C2349994	tinea barbae
C0877265	trichophyton infection
C0854608	systemic antifungal treatment
C0152029	congestion of nasal sinus
C0242073	pulmonary congestion
C0848633	sinus pressure
C1442786	acute respiratory tract infection
C0023067	laryngitis
C0027769	nervousness
C0233494	tension
C0024537	malaria, vivax
C0234868	involuntary vocalization
C0278076	behavioral tic
C0011206	delirium
C0012734	disruptive behavior disorder
C0260653	problem behavior
C0008066	child behavior disorders
C0162565	acute intermittent porphyria
C0268483	tyrosinemias
C0032708	disorders of porphyrin metabolism
C0302148	blood clot
C0427511	white blood cell finding
C0027788	nerve conduction function
C0426484	throat symptom
C0312646	finding related to response to skin test
C1517205	flare
C0221232	welts
C0231749	knee pain
C0332624	dispersion
C0015379	extravasation of diagnostic and therapeutic materials
C0332261	spreading (qualifier value)
C1262162	oral administration complication
C0375359	chronic left-sided ulcerative colitis
C0267390	chronic ulcerative rectosigmoiditis
C0581126	severe asthma
C0001627	congenital adrenal hyperplasia
C0162817	skin diseases, eczematous
C0857057	blotchy
C0025218	chloasma
C0151907	discoloration of skin
C0599750	hormone deficiency
C0162834	hyperpigmentation
C0494870	other melanin hyperpigmentation
C0036651	senile lentigo
C0599910	skin color
C1269684	skin pigmentation - finding
C2237440	brownish discoloration of skin
C1274614	ultraviolet-induced skin pigmentation - tanning
C0037290	skin pigmentation
C0007570	celiac disease
C0743188	diarrhea persistent
C0012166	diet, macrobiotic
C0344353	vegan diet
C1510527	chronic stress
C0162566	porphyria cutanea tarda
C0042134	uterine hemorrhage
C0810243	cancer; other primary
C1704632	disease response
C0022790	krukenberg tumor
C0231225	pain crisis
C1370868	cml, refractory
C1336869	unresectable malignant neoplasm
C1540912	hypereosinophilic syndrome
C0023518	leukocytosis
C0040028	thrombocythemia, essential
C0263338	chronic urticaria
C0683324	organic disorders
C0008370	cholestasis
C0426390	bladder spasm
C0020458	hyperhidrosis disorder
C0040822	tremor
C2169558	recent exposure to heat and wind
C2004493	leukemia, b-cell
C0031046	pericarditis
C0233315	premature birth of newborn
C0232201	sinus rhythm
C1149110	bradykinin receptor activity
C0548923	burn infection
C0241863	diabetic
C0026998	acute myeloid leukemia, m1
C0022573	keratoconjunctivitis
C0022570	keratitis, dendritic
C0015407	eye infections, viral
C0026705	mucopolysaccharidosis ii
C0085692	hemorrhagic cystitis
C0855197	testicular malignant germ cell tumor
C0278841	testis cancer recurrent
C2986605	third-line therapy
C2259385	matrix metalloproteinase-1 activity
C0009782	connective tissue diseases
C0162521	exercise tolerance
C1152750	prostacyclin receptor activity
C3179349	gastrointestinal stromal sarcoma
C0279543	philadelphia chromosome positive chronic myelogenous leukemia
C0014347	enterobacteriaceae infections
C0026458	monobactams
C1386135	acute depression
C0013473	eating disorders
C0009663	condylomata acuminata
C0343730	perianal warts
C0007193	cardiomyopathy, dilated
C0268000	body fluid retention
C0235415	salt retention
C0012802	thiazide diuretics
C0018800	cardiomegaly
C0232266	continuous murmur
C0232370	florid red complexion (finding)
C1142035	hyperdynamic precordium
C0476273	respiratory distress
C0037011	shoulder pain
C0262633	shoulder tendinitis
C0003868	arthritis, gouty
C3495559	juvenile arthritis
C0232809	glomerular filtration
C0020459	hyperinsulinism
C0022662	kidney function tests
C0232804	renal function
C0180109	contrast media, radiographic/fluoroscopic
C0086466	injectables
C0065885	meglumine iodipamide
C0085313	blastocystis infections
C1273559	intrathecal administration of treatment
C0037928	spinal cord diseases
C0040405	x-ray computed tomography
C0037939	spinal neoplasms
C0006261	bronchial diseases
C0079595	imaging techniques
C1865878	elevated serum creatinine
C0033687	proteinuria
C0278584	metastatic carcinoma to the uterine cervix
C0278579	cervix carcinoma recurrent
C0027627	neoplasm metastasis
C1366395	anemia; megaloblastic, nutritional
C0432923	superficial incised wound
C0032964	pregnancy complications, hematologic
C0596286	cell growth regulation
C0264348	chronic asthmatic bronchitis
C0155336	esotropia with accommodative compensation
C0031911	pigmentation
C0267446	acute gastroenteritis
C0005416	biliary dyskinesia
C0008350	cholelithiasis
C0013298	duodenitis
C0156173	functional diarrhea
C0017152	gastritis
C1405427	irritability; duodenum
C0152163	pylorospasm
C0080276	disorder of the genitourinary system
C0281773	acute glaucoma
C0232823	osmotic diuresis
C1274727	acne nodule
C0040021	thromboangiitis obliterans
C0030409	paracoccidioidomycosis
C0043541	zygomycosis
C1511437	cftr pathway
C0920627	orphan diseases
C1865441	cystic fibrosis, gly551asp
C1384353	parasite infestation
C0348997	intestinal strongyloidiasis
C0029001	onchocerciasis
C0029002	onchocerciasis, ocular
C0038463	strongyloidiasis
C0003950	ascariasis
C0013882	elephantiasis
C0024759	mansonelliasis
C0019151	hepatic encephalopathy
C0740831	aids diarrhea
C0350056	adsorbents
C0521991	symptoms of stress
C0403723	candiduria
C0553576	systemic mycosis
C0000880	acanthamoeba keratitis
C0848200	afterbirth pain
C0039504	tendon injuries
C0155877	allergic asthma
C2037813	bleeding as surgical complication
C0020546	hypertensive crisis
C0020650	hypotension, controlled
C0750946	nervous system diseases, sympathetic
C1536696	overactivity
C2985546	antibodies, monoclonal, humanized
C0580464	carcinoembryonic antigen present
C1527249	colorectal cancer
C1517701	labetuzumab
C0012238	digestion
C0401149	chronic constipation
C0524909	hepatitis b, chronic
C0853193	bipolar i disorder
C0234533	generalized seizures
C1445641	phenyltriazine derivative anticonvulsant
C1621561	proton pump activity
C2008807	frequent heartburn
C1699634	her-2 positive breast cancer
C1514463	prior therapy
C0026703	mucopolysaccharidoses
C0023786	mucopolysaccharidosis i
C0149676	enzyme deficiency
C0162585	ion transport
C1151754	dihydroorotate dehydrogenase activity
C0235378	hepatotoxicity
C0920641	pyrimidine metabolism pathway
C1521461	loss of chromosome 5q
C0008625	chromosome aberrations
C0243083	associated disease
C1149183	interleukin receptor activity
C1827687	chemotherapy-induced neutropenia
C0749392	thrombocytopenia chemotherapy induced
C1150620	granulocyte colony-stimulating factor receptor activity
C1149206	interleukin-3 receptor activity
C1836233	aids, progression to
C2986665	early-stage breast carcinoma
C1517283	folic acid metabolism inhibition
C0856220	drug toxicity due to accidental overdosage
C0683141	drug excretion
C0568062	methotrexate poisoning
C0025677	methotrexate
C0023267	fibroid tumor
C0270850	idiopathic generalized epilepsy
C0270853	myoclonic epilepsy, juvenile
C0007020	carbon monoxide poisoning
C0751792	trauma, nervous system
C0030569	secondary parkinson disease
C1096571	serratia marcescens infection
C0024959	maxillary sinusitis
C0027412	opioid-related disorders
C0025319	menopausal syndrome
C1536809	postmenopausal disorder
C1609524	adhf
C1827266	decompensated chronic heart failure
C0520962	localized pain
C0038904	surgical procedures, minor
C2257685	alditol:nadp+ 1-oxidoreductase activity
C0011876	diabetic cataract
C0011884	diabetic retinopathy
C0342257	complications of diabetes mellitus
C1151017	guanylate cyclase activity
C1868889	irritable bowel syndrome characterized by constipation
C0003869	arthritis, infectious
C0014736	erysipelothrix infection
C0030757	pediculus capitis infestation
C1096589	enterococcus faecium infection
C1096075	vancomycin-resistant enterococcal infection
C0018021	goiter
C0677607	hashimoto disease
C0007115	malignant neoplasm of thyroid
C0342208	multinodular goiter
C0221777	nontoxic goiter
C1306804	subacute lymphocytic thyroiditis
C0854492	tertiary hypothyroidism
C0040135	thyroid hormones
C3272041	glucagon-like peptide 1 receptor activity
C0578150	hemodynamically stable
C0017078	ganglionic stimulants
C0085281	addictive behavior
C0740858	substance abuse problem
C0000744	abetalipoproteinemia
C0220650	metastatic malignant neoplasm to brain
C0750974	brain tumor, primary
C0746341	hodgkin's disease recurrent
C0855082	hodgkin's disease refractory
C0022665	kidney neoplasm
C0037864	spermatogenesis
C0740441	acute diarrhea
C0401151	chronic diarrhea
C1546673	drainage, ileostomy
C0009374	colonic diseases, functional
C0149777	abscess of skin and/or subcutaneous tissue
C0041912	upper respiratory infections
C1504369	allergic disorder of respiratory system
C2202981	watery nasal discharge
C0041834	erythema
C0007398	catatonia
C0009774	viral conjunctivitis
C0267509	chronic idiopathic constipation
C0153633	malignant neoplasm of brain
C0277355	flea infestation
C0409959	osteoarthritis, knee
C1151967	fatty-acid synthase activity
C3489393	hiatal hernia
C1704806	coating excipient
C0006114	cerebral edema
C0021880	intracranial pressure
C0860433	irreversible renal failure
C0742078	mass lesion of brain
C0028961	oliguria
C1373187	renal excretion
C0003460	anuria
C1527311	brain edema
C0005587	depression, bipolar
C0011574	involutional depression
C0236736	cocaine-related disorders
C3271836	c-c motif chemokine 5 receptor activity
C0242640	multi-drug resistance
C0877510	precancerous skin lesion
C1819952	keratinocyte proliferation
C1305855	body mass index
C1384687	ancylostomiasis due to ancylostoma duodenale
C0019911	hookworm infections
C0027529	necatoriasis due to necator americanus (disorder)
C1442161	gene deletion abnormality
C1837475	insulin-like growth factor i deficiency
C1609515	neutralising antibodies positive
C0002736	amyotrophic lateral sclerosis
C0013687	effusion
C0153792	hodgkin's disease of lymph nodes of multiple sites
C0677954	hodgkin's disease stage iv
C1384494	metastatic carcinoma
C0520761	toxic effect of chemical
C0080032	pleural effusion, malignant
C0413892	adverse reaction to epinephrine
C0009773	conjunctivitis, vernal
C0014583	episcleritis
C2062728	benzodiazepine withdrawal
C0456909	blind vision
C0813142	circadian rhythm disorders
C0393770	delayed sleep phase syndrome
C0008073	developmental disabilities
C0231311	jet lag syndrome
C0028047	nicotine withdrawal
C0033139	primary insomnia
C0751251	secondary insomnia
C0751760	shift-work sleep disorder
C0877792	sleep disorders, circadian rhythm
C1833362	sleep-wake cycle disturbance
C0686347	tardive dyskinesia
C0199975	interleukin-2 therapy
C0677886	epithelial ovarian cancer
C0278884	melanoma recurrent
C1846227	gonadotropin insufficiency
C0025326	menotropins
C0018050	gonadal disorders
C0857353	hypotensive
C0022333	jacksonian seizure
C0014557	epilepsy, post-traumatic
C0004745	barbiturates
C1373161	ultraviolet a radiation absorption
C0677908	maintenance therapy
C0442841	cellular proliferative disease
C1632842	complicated appendicitis
C0003615	appendicitis
C0025292	meningitis, haemophilus
C0025295	meningitis, pneumococcal
C0033252	proctosigmoiditis
C0941058	ulcerative colitis, active moderate
C0037072	sigmoid diseases
C0029221	organic brain syndrome
C0270611	brain injuries
C0521659	motor neuron disease, upper
C0085129	bronchial hyperreactivity
C0152128	drug withdrawal syndrome
C1389940	bladder; neurogenic, reflex
C0032026	pityriasis rosea
C0004659	bacteriuria
C0729524	bacterial urinary infection
C0018213	graves disease
C0040127	thyroid crisis
C0304448	methohexital sodium
C1151778	dihydrofolate reductase activity
C0349557	gestational choriocarcinoma
C0020217	hydatidiform mole
C0008493	hydatidiform mole, invasive
C0042900	vitiligo
C0021831	intestinal diseases
C0549042	excessive or recurrent bleeding
C0349251	behavioral syndrome associated with physiological disturbance and physical factors
C0476236	developmental symptoms
C0233415	cognitive function: distractibility
C0424295	hyperactive behavior
C0021125	impulsive behavior
C0085633	mood swings
C0262630	reduced concentration span
C0027854	neurologic manifestations
C0024902	mastodynia
C0038999	swelling
C0375777	infection with microorganisms resistant to penicillins
C1152726	beta adrenoceptor activity
C0019868	homeostasis
C1704258	abnormality
C0158570	vascular anomaly
C1096458	vascular occlusion
C0332563	papule
C0241157	pustule
C0238106	clostridium difficile colitis
C0850136	giardia enteritis
C0040923	trichomonas vaginitis
C0851874	hypothalamic and pituitary disorders nec
C1655054	regulation of corticotropin secretion
C0334419	pheochromocytoma, malignant
C0876973	infectious disease of lung
C0343884	acute disseminated candidiasis
C1609535	candidiasis, invasive
C0085405	salvage therapy
C0740482	hypotension orthostatic symptomatic
C0032987	ectopic pregnancy
C0002986	fabry disease
C2263301	glucosylceramide synthase activity
C0577866	poor venous access
C0235031	neurologic symptoms
C0220756	niemann-pick disease, type c
C0240807	progressive symptoms
C0588007	moderate depression
C2362914	clinical depression
C0588008	severe depression
C0241893	tick fever
C0560175	carrier of disorder
C0034362	q fever
C0035597	rickettsialpox
C0035793	rocky mountain spotted fever
C0041471	typhus
C0343758	typhus group rickettsial disease
C0574769	loss of scalp hair
C2216476	male pattern baldness of crown
C1290893	drug-induced ulceration
C0577731	disseminated adenocarcinoma
C0153340	cancer of lip
C1387409	history; malignant neoplasm, digestive organ
C0153381	malignant neoplasm of mouth
C0153405	malignant neoplasm of pharynx
C0153467	malignant tumor of peritoneum
C0001418	adenocarcinoma
C0206686	adrenocortical carcinoma
C0001618	tumors of adrenal cortex
C0751965	multiple sclerosis, secondary progressive
C0332271	worsening pattern
C0852426	narcolepsy and hypersomnia
C1159576	proton transport
C1159690	sodium ion transport
C1157720	melanin biosynthetic process
C0262977	achromia of skin
C0232188	normal heart rate
C0035235	respiratory syncytial virus infections
C1313983	acute contagious conjunctivitis
C0034212	pyoderma
C0421163	staphylococcus carrier
C0555970	nasal infection
C0522248	inadequate analgesia
C0342543	precocious puberty, central
C0271528	isosexual precocious puberty
C0020452	hyperemia
C0155093	localized vascularization of cornea
C2062908	gout acute
C0339170	fungal conjunctivitis
C1262117	fungal keratitis
C0276762	mycotic keratitis due to fusarium solani
C0015405	fungal eye infections
C0085407	microsporidiosis
C1579432	meglitinides
C0011875	diabetic angiopathies
C0853897	diabetic cardiomyopathies
C0036981	endotoxic shock
C0581125	moderate asthma
C1961099	precursor t-cell lymphoblastic leukemia-lymphoma
C1292758	precursor t-cell lymphoblastic lymphoma
C0920028	leukaemia recurrent
C0744471	gram-negative bacteraemia
C0232920	sterile (qualifier value)
C0549465	observation of tone of skeletal muscle
C0005686	urinary bladder diseases
C0151827	eye pain
C0264719	acute congestive heart failure
C0742746	congestive heart failure decompensated
C2712054	actual resting dyspnea
C0086879	pulmonary capillary wedge pressure
C2984247	renin-angiotensin pathway
C0030783	pellagra
C0027996	niacin
C0542153	increased platelet aggregation [pe]
C0011268	senile dementia
C0022118	transient ischemia
C0012561	diphyllobothriasis
C0277027	diphyllobothrium latum infection
C0343978	intestinal fluke infection
C0152073	taenia saginata infection
C0438437	ruptured berry aneurysm
C0038525	subarachnoid hemorrhage
C1167661	cerebral vasoconstriction
C0019640	histomoniasis
C0276865	infection by cryptosporidium parvum
C3280065	hypertelorism, preauricular sinus, punctal pits, and deafness
C0581366	recurrent cystitis
C0009253	coitus
C0009062	clostridium infections
C1112259	intraoperative hypotension
C0278148	throbbing pain
C1516360	cell stress process
C0025320	menopause
C1168146	transdermal contraception
C0544617	neurogenic shock (disorder)
C0595862	vasodilation disorder
C0001711	aerosol propellants
C0729766	infection of oral cavity, teeth and salivary gland
C0178238	intestinal infectious disease
C0006848	mucocutaneous candidiasis
C0549310	vaginal mycosis
C0155365	disorder of vitreous body
C1373162	ultraviolet b radiation absorption
C1302255	toxicity due to chemotherapy
C0001430	adenoma
C0005974	bone resorption
C0029888	suppurative otitis media
C0236780	mixed bipolar i disorder
C1150171	endopeptidase activity
C2888183	primary focal hyperhidrosis of axilla
C0392386	decreased platelet count
C0043096	body weight decreased
C0005910	body weight
C0043094	weight gain
C1149836	lipase activity
C2258907	neuraminidase activity
C0009402	colorectal carcinoma
C1158479	dna modification process
C0036330	schistosomiasis mansoni
C0151825	bone pain
C0597297	protein degradation, metabolic
C0013911	emaciation
C0018273	growth disorders
C0427008	stiffness
C0277232	infection by cyathostomum
C0277241	infection by cylicocyclus
