C0000729	Abdominal cramps
C0542044	Incoherent
C0019064	Pericardial haemorrhage
C0022876	Premature labour
C0027022	Myeloproliferative disorder
C0027145	Myxoedema
C0034091	Pulmonary veno-occlusive disease
C0036529	Cardiomyopathy secondary NOS
C0041959	Ureteritis
C0043092	Wegener's granulomatosis
C3495801	Granulomatosis with polyangiitis
C0153618	Malignant neoplasm of renal pelvis
C0153619	Ureteric cancer
C0234909	Nail changes
C0239937	Microscopic hematuria
C0282488	Cystitis interstitial
C0341751	Bladder necrosis
C0404445	Ovarian atrophy
C0521626	Bladder fibrosis
C0747102	Ovarian failure
C0750016	Generalized urticaria
C0854532	Myopericarditis
C0858979	Oral mucosa sore
C0869523	Carditis
C0877077	Myocardial haemorrhage
C1142523	Hypothrombinaemia
C1328537	Palmar-plantar erythema
C1442837	Myocardial necrosis
C1863751	Wound healing normal
C2242496	Parotid gland inflammation
C2747813	Bacterial colonisation
C0014034	Enanthema
C0017563	Gingival disorder
C0017567	Gingival hypertrophy
C0023524	Progressive multifocal leukoencephalopathy
C0028778	Obstruction
C0041909	Upper gastrointestinal haemorrhage
C0085648	Synovial cyst
C0221021	Microangiopathic haemolytic anaemia
C0541840	Contraction skeletal muscle
C0553576	Systemic mycosis
C0748052	Erythrodermic psoriasis
C0748318	Progressive renal failure
C0877042	Graft loss
C0877690	Renal graft loss
C0948765	Cyclosporine toxicity
C1262018	Transplant failure
C1696946	Polyomavirus-associated nephropathy
C1698088	Malignant solid tumour
C0001144	Acne vulgaris
C0042376	Vascular headache
C0151582	Urate crystalluria
C0151996	Uterine fibroids enlarged
C0154833	Retinal vascular disorder
C0236178	Intra-abdominal haemorrhage
C0541896	Spermatozoa abnormal
C1535919	Foetal chromosome abnormality
C1704212	Embolus
C3536683	Ovulation inhibited
C0429468	Anovulatory cycle
C0004767	Bartholin's cyst
C0547000	Joint lock
C1527405	Erythrocytosis
C2609073	Splenic peliosis
C0003130	Anoxia
C0263591	Drug-induced lupus erythematosus
C0919909	Tonic clonic movements
C0857199	Red blotches
C0007302	Chondropathy
C0241266	Subcutaneous abscess
C0877167	Psychomotor skills impaired
C1096256	Cryptococcal cutaneous infection
C1504405	Pyramidal tract syndrome
C0026718	Mucormycosis
C0043541	Zygomycosis
C0035304	Retinal degeneration
C0221040	Dialysis dementia
C0149504	Toxic encephalopathy
C0231441	Immobile
C0265294	Metaphyseal dysplasia
C0521172	Eschar
C0853198	Gastroenteritis yersinia
C0858618	Dyschromatopsia
C0549369	Pancreatic enzymes increased
C0221228	Comedone
C0013928	Fat embolism
C0028840	Ocular hypertension
C0028841	Hypotony of eye
C0033844	Pseudotumor
C0035321	Retinal tear
C0042909	Vitreous haemorrhage
C0151467	Adrenocortical insufficiency acute
C0152006	Vitreous opacities
C0423281	Anterior chamber flare
C0423282	Anterior chamber cell
C0859229	Migration of implant
C1608950	Device dislocation
C1096278	Anterior chamber inflammation
C1535948	Retinal aneurysm
C1608942	Complication of device insertion
C0022410	Joint instability
C0860453	Loss of skin markings
C0262977	Skin depigmentation
C0277884	Blood pressure systolic increased
C0751900	Motor tic
C0040188	Tic
C0178417	Anhedonia
C0234967	Choreoathetoid movements
C0238051	Vasculitis cerebral
C0376297	Cardiac death
C0556446	Drug craving
C0600104	Compulsions
C0016751	Fructose intolerance
C0235050	Tingling skin
C0263492	Ingrown hair
C0549150	Pseudofolliculitis barbae
C0877197	Numbness lips
C1274926	Stinging skin
C0015914	Fertilization
C0521305	Assisted fertilisation
C0574770	Body hair loss
C0740379	Hydrocortisone decreased
C0235113	Emotional poverty
C0270971	Floppy infant
C0541819	Burning rectal
C0751476	Retching reflex decreased
C0856984	Hyperexcitation
C0011880	Diabetic ketoacidosis
C0038534	Subconjunctival hemorrhage
C0239987	Immunoglobulin G low
C0853705	Blood immunoglobulin G decreased
C0267953	Pancreatic necrosis
C0438434	Scotoma annular
C0019212	Hepatorenal syndrome
C0151464	Injection site abscess
C0339293	Corneal perforation
C0560024	Swelling of eyelid
C0740471	Creatinine abnormal NOS
C0852875	Eye allergy
C0856099	Hemorrhoids aggravated
C1302752	Abrasion NOS
C1535849	Application site induration
C1608953	Intestinal diaphragm disease
C0017650	Globus hystericus
C0948023	Urine phosphate increased
C1096658	Urine phosphorus increased
C0033797	Pseudodementia
C0034931	Reflex sympathetic dystrophy
C0458219	Complex regional pain syndrome
C0158281	Cervicobrachial syndrome
C0235238	Cycloplegia
C0269993	Suppressed lactation
C0338591	Transient global amnesia
C0857257	Bloated feeling
C1522058	Coagulation necrosis
C0151891	Retinal depigmentation
C1142357	Symptomatic hyperlactatemia
C0020541	Portal hypertension
C0858708	Itch burning
C0151664	Gastrointestinal perforation
C0238124	Necrotising fasciitis
C0854456	Cellulitis gangrenous
C0857035	Acute anaphylaxis
C0423271	Scleral hyperaemia
C1112366	Eyelid irritation
C1328375	Application site discomfort
C1444680	Posterior capsule opacification
C3665888	Reproductive toxicity
C0086168	Dissociation
C0274727	Digoxin toxicity
C0600125	Electrocardiogram PR prolongation
C0857457	Digoxin effect
C1698480	Supraventricular tachyarrhythmia
C1412000	Mesenteric vascular insufficiency
C0010073	Arteriospasm coronary
C0027960	Nevus
C0027962	Melanocytic naevus
C0239340	Edema of lower extremities
C0242698	Left ventricular dysfunction
C0270729	Drug-induced parkinsonism
C0428908	Sinoatrial node dysfunction
C0003813	Sinus arrhythmia
C0578454	Neck swelling
C0857331	Acute liver damage
C1536074	Osteoarticular pain
C2242583	Acute liver injury
C0079027	Intraoperative hemorrhage
C3203457	Procedural haemorrhage
C0750197	Sustained ventricular tachycardia
C0917805	Transient cerebral ischemia
C0919620	Electrocardiogram ST-T change
C1540600	Seizure cerebral
C0242453	Prostatism
C0264909	Defect conduction intraventricular
C0861149	Proarrhythmic effect
C0231230	Fatigability
C0004352	Autism
C0015624	Fanconi syndrome
C0023186	Learning disorder
C0024138	Discoid lupus erythematosus
C0032460	Polycystic ovaries
C0232940	Amenorrhea secondary
C0235946	Cerebral atrophy
C0236101	Neonatal and infancy disorder
C0021290	Neonatal disorder
C0270823	Petit mal status, epileptic
C0272315	Coagulation factor decreased
C0438235	Liver function test normal
C0542224	Spots before eyes
C0553681	Hypofibrinogenaemia
C0740279	Cerebellar atrophy
C1167709	Epidermal necrosis
C1510586	Autism spectrum disorder
C1868980	Pharmacokinetic interaction
C0235013	Hypervigilance
C0022906	Lacrimal duct obstruction
C1096185	Dacryostenosis acquired
C0151738	Large intestine perforation
C0155919	Acute pulmonary oedema
C0206063	Radiation pneumonitis
C0343387	Neutropenic enterocolitis
C0400823	Neutropenic colitis
C0596240	Cancer pain
C1167686	Nail toxicity
C1167779	Neutropenic infection
C1167791	Skin toxicity
C2364164	Fluid imbalance
C0497364	Localized rash
C0684249	Carcinoma of lung
C0242379	Lung neoplasm malignant
C3495917	Advanced breast cancer
C0236141	Electrocardiogram abnormal specific
C0749249	Wide complex tachycardia
C0877038	Electrocardiogram poor R-wave progression
C1112436	QRS axis abnormal
C0857980	Serum prolactin increased
C0003860	Arteritis
C0004063	Assault
C0740319	Physical assault
C0041782	Deficiency anaemia
C0221395	Erythropenia
C0233569	Physical wandering
C0235117	Withdrawal emotional
C0241379	Increased thirst
C2004521	Anaemia vitamin B12 deficiency
C0162279	Choroidal detachment
C0221725	Bronchial obstruction
C0857073	Cold hands & feet
C1142349	Eyelid pain
C0085580	Essential hypertension
C0235357	Tooth hypoplasia
C0235756	Semen abnormal
C2363829	Semen analysis abnormal
C0403673	Retrograde ejaculation
C0001546	Adjustment disorder
C0006144	Breast cyst
C0017572	Gingival recession
C0027438	Nasopharyngeal disorder
C0393759	Transient insomnia
C0456511	Sleep paralysis
C0751249	Chronic insomnia
C0847403	Infective tenosynovitis
C0853857	Cellulitis staphylococcal
C0854985	Lung adenocarcinoma stage I
C0858751	Lip blister
C0877027	Joint range of motion decreased
C0919892	Blood pressure inadequately controlled
C0948376	Electrocardiogram ST-T segment abnormal
C0475746	Light anaesthesia
C0855625	Bilirubin conjugated increased
C0857322	Anemic
C0031133	Vermiculation
C0152196	Spasm of accommodation
C0003119	Anophthalmos
C0015663	Fasting
C0023794	Lipidosis
C0162824	Photocontact dermatitis
C0281863	Hepatitis C antibody positive
C1735646	Rash recurrent
C0003469	Anxiety disorder
C0019559	Coxalgia
C0036749	Serositis
C0085383	Hypocapnia
C0860711	Carbon dioxide decreased
C0342649	Vascular calcification
C1442839	Hypervitaminosis D
C1533591	Deposit calcium
C0241950	Intestinal infarction
C0277899	Pulse absent
C0008149	Chlamydial infection
C0232599	Bilious vomiting
C0700639	Congenital hypertrophic pyloric stenosis
C0232861	Penile discharge
C0239376	Pain of lower extremities
C1142383	Breast tension
C1328561	Postmenopausal spotting
C0032776	Postmenopausal haemorrhage
C0029396	Ectopic ossification
C0334040	Extraskeletal ossification
C0149911	Hypercalcaemia of malignancy
C0302313	Osteolytic lesion
C0221204	Osteolysis
C1868919	Upper abdominal discomfort
C0153676	Lung cancer metastatic
C0920103	Haematotoxicity
C1142520	Nail pigmentation
C1735348	Anal irritation
C0151625	Enzyme abnormality
C0005001	Benign prostatic hypertrophy
C0271468	Eustachian tube disorder
C0424813	Orbital oedema
C0014065	Encephalocele
C0032045	Placental disorder
C0038644	Sudden infant death syndrome
C0158687	Congenital genital malformation
C0235487	Embolism limb
C0856049	Peripheral embolism
C0235880	Mononeuritis
C0236003	Mucosal swelling
C0521481	Oedema mucosal
C0236106	Photosensitivity allergic reaction
C0855791	Mean cell volume increased
C1384597	Acquired megacolon
C1096286	Transaminases decreased
C0004153	Atherosclerosis
C0151765	Liver fatty deposition
C0451641	Urolithiasis
C0042018	Calculus urinary
C0856597	Pulmonary alveolitis
C0010263	Cramp of limb
C0040997	Trigeminal neuralgia
C0005424	Biliary tract disorder
C0011127	Decubitus ulcer
C0018674	Head injury
C0027609	Drug withdrawal syndrome neonatal
C0041671	Attention deficit disorder
C1263846	Attention deficit/hyperactivity disorder
C0080233	Tooth loss
C0150055	Chronic pain
C0151585	Deafness permanent
C0151586	Partial permanent deafness
C0151589	Partial transitory deafness
C0151694	Hemorrhage of colon
C0948425	Large intestinal haemorrhage
C0151821	Accidental overdose
C0184567	Acute pain
C0221047	Bradycardia-tachycardia syndrome
C0263530	Nail longitudinal striations
C0423820	Nail ridging
C0266998	Oral soft tissue disorder NOS
C0267033	Lip ulceration
C0267028	Lip pain
C0392378	Gingival ulceration
C0521492	Application site ulcer
C0549452	Localised skin reaction
C0221743	Skin reaction
C0740852	Upper airway obstruction
C0853939	Oral mucosal discolouration
C0853942	Tongue blistering
C0860752	Lactate increased
C0919599	Application site eczema
C0919671	Subileus
C0919894	Nasal mucosal disorder
C0949070	Upper respiratory tract congestion
C1112257	Oral pustule
C1696685	Intentional drug misuse
C1739422	Opioid naive
C0919936	Therapy naive
C1868790	Intranasal hypoaesthesia
C0033578	Neoplasm prostate
C0162311	Androgenetic alopecia
C0238033	Breast cancer male
C0029574	Other dermatoses
C0860646	Morbid dreams
C0267841	Acalculous cholecystitis
C0340613	Arterial aneurysm
C0520571	Biliary fibrosis
C0004030	Aspergillosis
C0851807	Aspergillus infection
C0029119	Opportunistic mycosis
C0231666	Wrist drop
C1306600	Radial nerve palsy
C0236151	Renal function test abnormal
C0242584	Autoimmune thrombocytopenia
C0272126	Evans syndrome
C1168174	Absolute neutrophil count decreased
C0149678	Epstein-Barr virus infection
C0333650	Fat atrophy
C1280433	Lipoatrophy
C0235093	Paralysis of bladder
C0740409	Psychotic behaviour
C0037268	Congenital skin disorder
C0039235	Junctional tachycardia
C0006905	Capillary fragility
C0235318	Fullness abdominal
C0858524	Tachycardia nervous
C0020581	Hyphaema
C0027134	Myringitis
C0155388	External ear disorder
C0267446	Acute gastroenteritis
C0332798	Open wound
C0456495	Ear canal erythema
C0854402	Mechanical complication of implant
C0854466	Implant expulsion
C0549478	Device expulsion
C1096106	Wound complication
C1112489	Corneal irritation
C1735373	Acute uveitis
C0011304	Demyelination
C0155145	Chronic conjunctivitis
C0234162	Dysmetria
C0423172	Dacryocanaliculitis
C2752009	White matter lesion
C0008449	Chondrodystrophy
C0015923	Foetal alcohol syndrome
C0020624	Hypomenorrhoea
C0032519	Polymenorrhoea
C0034067	Emphysema
C1328337	Urethritis noninfective
C0151538	Buccoglossal syndrome
C0151571	Corneal lesion
C0151574	Cough decreased
C0151702	Muscle haemorrhage
C0151737	Intentional injury
C0151752	Lactation female
C0155789	Oesophageal varices haemorrhage
C0156394	Enlarged clitoris
C0156543	Abortion
C0233523	Antisocial behaviour
C0233528	Asocial behaviour
C0003431	Antisocial personality disorder
C0312422	Blacked-out (not amnesia)
C0341164	Gastric ulcer haemorrhage
C0427144	Toe walking
C0542351	Battery
C0854381	Genital haemorrhage
C0858970	Carcinogenicity
C0919591	Urogenital haemorrhage
C0948011	Cervix haemorrhage uterine
C1455705	Histiocytosis X of lung
C0019621	Langerhans' cell histiocytosis
C2732728	Body height decreased
C0151310	Paresthesia generalized
C0009398	Defective colour vision
C0428895	Labile blood pressure
C1963946	Laryngeal dystonia
C0264588	Spasmodic dysphonia
C0701824	Staggering gait
C0034074	Pulmonary infarction
C0027627	Metastasis
C0038732	Sulphaemoglobinaemia
C0235398	Diabetes mellitus exacerbated
C0242788	Breast neoplasm NOS male
C1384494	Metastatic carcinoma
C0549293	Nasal soreness
C0858684	Telangiectasis facial
C0859871	Stinging of nose
C1322253	Eczema infected
C0001818	Agoraphobia
C0020604	Hypochondriasis
C0085136	Central nervous system neoplasm
C0149707	Haematospermia
C0151899	Syndrome screaming
C0521008	Screaming
C0233697	Obsessive rumination
C0679048	Obsessive thoughts
C0235774	Somnolence neonatal
C0240322	Menstruation delayed
C0919661	Heart alternation
C1704373	Compulsive personality disorder
C0009595	Obsessive-compulsive personality disorder
C1868709	Activation syndrome
C0233818	Judgement impaired
C1536696	Overactivity
C1096646	Transaminitis
C0239093	Conjunctival irritation
C0151580	Crystalluria calcium
C0151595	Digitalis intoxication (NOS)
C0740304	COPD exacerbation
C0151472	Albumin globulin ratio abnormal
C2240374	Eosinophil count increased
C0010266	Cranial nerve disorder
C0149744	Oral lesion
C0232203	Atrial rhythm
C0423636	Cardiac pain
C0853087	Nail abnormality NOS
C0861120	Albumin urine increased
C0564622	Albumin urine present
C0158369	Swelling of limb
C0162627	Skin bacterial infection
C0587246	Limb paresis
C0270795	Monoparesis
C0700363	Rhythm idioventricular
C0920114	Urinary sediment abnormal
C0079773	Cutaneous T-cell lymphoma
C0026948	Mycosis fungoides
C0277589	Found dead (cause undetermined)
C0949091	Candida sepsis
C1096243	Central line infection
C1444565	Cardiopulmonary failure
C0151614	Electrolyte depletion
C0264939	Polyangiitis
C0398623	Thrombophilia
C0542027	Hypercoagulation
C0401151	Chronic diarrhea
C0853277	Pseudo-Bartter syndrome
C1535893	Orthostatic intolerance
C1619727	Decompensated cirrhosis
C0038166	Staphylococcal skin infection
C0549350	Conjunctivitis exacerbated
C0007863	Occipital neuralgia
C0008513	Chorioretinitis
C0011884	Diabetic retinopathy
C0023223	Leg ulcer
C0151541	Capillary fragility increased
C0151946	Pulmonary thrombosis
C0221237	Angular cheilitis
C0232267	Pericardial rub
C0236018	Aura
C0282005	Scrotal swelling
C0438242	Blood urea abnormal
C0541881	Difficulty focusing eyes
C0553668	Labored breathing
C0595861	Parasuicide
C0740447	Diabetic peripheral neuropathy
C0011882	Diabetic neuropathy
C0849835	Lip haemorrhage
C0877314	Blood glucose fluctuation
C1168225	Inner ear infection
C1282799	Penile swelling
C0011269	Vascular dementia
C0024050	Lower gastrointestinal haemorrhage
C0018129	Transplant rejection
C0032787	Postoperative complications NOS
C1141930	Post procedural complication
C0038941	Postoperative wound infection
C0235855	Sepsis secondary
C0521501	Injection site thrombosis
C0742006	Catheter infection
C0742007	Catheter sepsis
C2747852	Device related sepsis
C0000932	Traffic accident
C0273115	Traumatic lung injury
C0700078	Tendon reflex decreased
C0858307	Bilirubin normal
C0853289	Blood bilirubin normal
C1142072	Oral toxicity
C1609536	Allergic bronchospasm
C1704437	Respiratory distress syndrome
C0085693	Acute appendicitis
C0151640	Fertility male decreased
C0242420	Retinal oedema
C0857323	Angioedema of larynx
C0015668	Fat necrosis
C0235282	Ear roaring
C0235905	Myasthenia gravis-like syndrome
C0001973	Alcoholism
C0004691	Balanoposthitis
C0020617	Hypoglycaemic coma
C0158775	Spine malformation
C0232570	Epigastric fullness
C0233417	Poor concentration
C0235832	Hernia congenital
C0235922	Breast neoplasm benign female
C0241137	Pallor of skin
C0241832	Cerebrovascular insufficiency
C0497538	Benign gastrointestinal neoplasm
C0745153	Hypoglycaemic episode
C0857093	Elevated liver enzyme levels
C0271710	Hypoglycemic reaction
C0858217	Gastrointestinal fullness
C0021847	Intestinal pseudo-obstruction
C0948779	Gastrointestinal hypomotility
C0426498	Tongue dry
C0695236	Tracheostomy infection
C0859032	Moaning
C1096275	Increased viscosity of bronchial secretion
C0151563	Coagulation time prolonged
C1697642	Puncture site pain
C0338375	Aseptic peritonitis
C3203695	Noninfectious peritonitis
C0341503	Peritonitis bacterial
C0394006	Disequilibrium syndrome
C0401013	Fungal peritonitis
C0549202	Chapped skin
C0221245	Skin fissures
C0848548	Hypertensive nephropathy
C0853893	Device interaction
C0857432	Serum osmolality increased
C0853754	Blood osmolarity increased
C0948808	Catheter blockage
C1608397	Device occlusion
C0948817	Catheter site inflammation
C1112210	Catheter site infection
C1141885	Sclerosing encapsulating peritonitis
C1868771	Peritoneal cloudy effluent
C0238304	Chronic interstitial nephritis
C0459435	Psychotic state
C0175683	Argininosuccinate synthetase deficiency
C0085621	Spastic paralysis
C0002624	Retrograde amnesia
C0005687	Bladder distension
C0751837	Ataxic gait
C0858950	Mental aberration
C0032633	Dyshidrotic eczema
C0221733	Paradoxical pressor response
C0263437	Acne infantile
C1167675	Application site folliculitis
C1735864	Administration site infection
C2586050	Oesophagitis ulcerative
C0549262	Rebound effect
C0004763	Barrett's oesophagus
C0008039	Cheyne-Stokes respiration
C0026825	Muscle tone flaccid
C0032768	Post herpetic neuralgia
C0040210	VT
C0041974	Urethral stenosis
C0220650	Brain cancer metastatic
C0686377	Metastases to central nervous system
C0232452	Cutis anserina
C0235194	Tranquillisation excessive
C0311394	Walking disability
C0741453	Bedridden
C0853946	Pain worsened
C0854121	Gastrointestinal motility disorder
C1135120	Breakthrough pain
C1269955	Tumour invasion
C1321581	Bezoar
C0152191	Central scotoma
C0263358	Erythema annulare centrifugum
C0234906	Erythema annulare
C0332579	Lividity
C0333244	Edema transient
C0422974	Halo vision
C1963822	Mucosal pigmentation
C3160840	Macular pigmentation
C0034561	Dermatitis radiation NOS
C1504383	Radiation skin injury
C0085273	Erythema infectiosum
C0221470	Aphagia
C0235988	Serum iron decreased
C0853785	Blood iron decreased
C0280100	Solid tumour
C1142305	Melanonychia
C1260402	Splenic sequestration
C0038379	Strabismus
C0152173	Ventricular flutter
C0152219	Cyclophoria
C0232695	Bowel sounds decreased
C0263355	Rash scarlatiniform
C0549363	Hot dry skin
C0677600	Stridor inspiratory
C0751535	Cardiac syncope
C0854165	Conjunctivitis papillary
C0004626	Pneumonia bacterial
C0006287	Bronchopulmonary dysplasia
C0017657	Glomerulitis
C0023529	Periventricular leukomalacia
C0025309	Meningoencephalitis
C0026272	Mixed connective tissue disease
C0235446	Azotaemia of renal origin
C0240059	Intraventricular haemorrhage
C0241742	Wound haemorrhage
C0270934	Toxic neuropathy
C0424444	Teeth clenching
C0853068	Glomerular filtration rate decreased
C2609264	Color vision change
C0155018	Colour blindness acquired
C0234983	Delirium toxic
C0392185	Repetitive speech
C0340515	Myocardial depression
C0919666	Venipuncture site hemorrhage
C1096225	Vessel puncture site haemorrhage
C1868879	Endotracheal tube obstruction
C0281803	Endotracheal intubation complication
C0542051	Instability vasomotor
C1963921	Chemical phlebitis
C0002891	Anaemia neonatal
C0013528	Echolalia
C0015970	Fever of unknown origin
C0023487	Acute promyelocytic leukaemia
C0030793	Pelvic neoplasm
C0035579	Rickets
C0085615	Bundle branch block right
C0155773	Portal vein thrombosis
C0238621	Aminoaciduria
C0473237	Frank hematuria
C0743072	Psychosis depressive
C0853021	Blood oestrogen decreased
C0853973	Blood gonadotrophin increased
C0855335	Electrocardiogram ST segment abnormal
C0859037	Feeling of residual urine
C0877854	Cerebral arteriosclerosis
C1095923	Febrile bone marrow aplasia
C1411873	Ovulation disorder
C1527410	Renal rickets
C2945586	Bladder irritation
C0238242	Lithium toxicity
C0031037	Periarthritis
C0037997	Spleen disorder
C0277525	Gastric flu
C0684275	Haemophilia
C0740435	Bilirubin unconjugated increased
C0854134	Blood bilirubin unconjugated increased
C0860803	Glucose increased
C1387528	Acute haemolytic anaemia
C0038013	Ankylosing spondylitis
C0221722	Muscle movement involuntary
C0234656	Periorbital pain
C0234962	Pulmonary vasculitis
C0235884	Gastric perforation
C0267380	Ileitis regional
C1504411	Post procedural oedema
C0085617	Arterial spasm
C0234507	Anosognosia
C0238201	Iodism
C0919702	Ventricular hypokinesia
C0015467	Facial neuralgia
C0239779	Grimacing
C0271355	VIth nerve paralysis
C0858603	Wave slowing
C1262195	Echoacousia
C1510450	Dysacusis
C1394290	Cyanotic heart disease
C0009492	Compartment syndrome
C0040127	Thyrotoxic crisis
C0235074	Tongue paralysis
C0235552	Subglottic edema
C0750426	White blood cell count increased
C1504363	Body temperature fluctuation
C1504537	Vegetative dystonia
C0234230	Pain burning
C0042740	Viral syndrome
C0683369	Consciousness clouding
C0002949	Artery dissection
C0024003	Lordosis
C0034372	Quadriplegia
C0035085	Renal infarct
C0232352	Vascular insufficiency
C0264315	Glottic edema
C0264956	Atheroma
C1510412	Vascular pseudoaneurysm
C1710632	Vessel perforation
C0161446	Brachial plexus injury
C0281773	Acute glaucoma
C0426732	Prostatomegaly
C0475765	Nasal oedema
C0857112	Glaucoma both eyes
C0857160	Numbness in leg
C0863111	Nasal mucus blood tinged
C0157733	Abnormalities of the hair
C0240464	Neck oedema of
C0403447	Chronic renal insufficiency
C0522035	Upper limb oedema
C0007102	Colon cancer
C0024121	Lung neoplasm
C0151618	Embolus leg
C0740482	Hypotension orthostatic symptomatic
C0857117	Hand rash
C0235744	Breath holding
C0400877	Postoperative ileus
C0424332	Breath holding attack
C0030783	Nicotinic acid deficiency
C0239652	Paraesthesia foot
C1527330	Pyridoxine deficiency
C0936215	Vitamin B6 deficiency
C0877306	Iris hyperpigmentation
C0232201	Sinus rhythm
C0235792	Breast pain male
C0235895	Implantation complication
C0521510	Implant site reaction
C0438237	Hepatic enzyme abnormal
C0851886	Pneumocystis carinii infection
C0276908	Pneumocystis jirovecii infection
C0857332	Clonic movements
C0085653	Pyogenic granuloma
C0235014	Fontanelle bulging
C0277961	Oily hair
C0235819	Rash bullous
C0023648	Bullous lichen planus
C0154769	Myopathy toxic
C0267410	Mesenteric artery thrombosis
C0595938	Increased effect
C0877617	Intestinal cramps
C0019189	Chronic hepatitis
C0239211	Oedema auricular
C0549297	Auricular swelling
C0596601	Gas
C0855440	Pancreatic enzymes abnormal
C0015468	Facial pain
C0234376	Action tremor
C0281963	Red cell aplasia
C0422980	Oscillopsia
C1536075	Sudden unexplained death in epilepsy
C0023055	Laryngeal neoplasm
C0025568	Metaplasia
C0032226	Pleural disorder
C0376286	Avitaminosis
C1510471	Hypovitaminosis
C0679254	Disease recurrence
C0740464	Electrolytes NOS decreased
C0853885	Blood electrolytes decreased
C0920184	Fundic gland polyp
C0948002	Crystal urine present
C0079731	B-cell lymphoma
C0149520	Cholecystitis acute
C0241254	Mucous stools
C0853890	Blood gastrin increased
C0948395	Gastrointestinal hypermotility
C0019357	Ophthalmic herpes simplex
C0020540	Malignant hypertension
C0221333	Hypouricaemia
C1261167	Sperm concentration
C3495559	Juvenile idiopathic arthritis
C0853662	Oestrogen deficiency
C0854069	Tumour pain
C0854113	Mucosal dryness
C1262200	Cerebrovascular infarction
C0007280	Carotid bruit
C0015799	Feminization
C0877195	Feminisation acquired
C0032000	Pituitary adenoma
C0496901	Pituitary tumour benign
C0032001	Pituitary apoplexy
C0342406	Pituitary haemorrhage
C0032230	Pleural rub
C0034884	Rectal fistula
C0205929	Anal fistula
C0034887	Rectal polyp
C0038019	Spondylosis
C0949690	Spinal osteoarthritis
C0080179	Spinal fracture
C0231772	Burning foot
C0234938	Injection site abscess sterile
C0240812	Prostatic pain
C0341753	Pelvic fibrosis
C0342405	Pituitary infarction
C0343166	Effusion of knee
C1253936	Joint effusion
C0376358	Prostate cancer
C0427457	Red blood cell count decreased
C0684550	Metastases to spine
C0741160	Aortic aneurysm rupture
C0853938	Nocturia aggravated
C0857984	Serum testosterone increased
C0853118	Blood testosterone increased
C0858934	Injection site warmth
C0948992	Paresthesia lower limb
C0034124	Pupillary disorder
C0578159	Antibiotic-associated diarrhea
C0241005	Creatine phosphokinase serum increased
C0948818	Catheter site phlebitis
C0949103	Catheter site pain
C1306792	Red man syndrome
C0031190	Persistent foetal circulation
C0085619	Orthopnoea
C0155709	Atrial fibrillation and flutter
C0155713	Papillary muscle rupture
C0311220	Lymphocytoma cutis
C0342257	Diabetic complication
C0423729	Painful respiration
C0877664	Gastrointestinal cramps
C1142492	Postinfarction angina
C1956415	Dyspnoea paroxysmal nocturnal
C0877090	Orthostatic collapse
C0020502	Hyperparathyroidism
C0152192	Scotoma of blind spot area
C0235396	Hypertonicity
C0263465	Skin xerosis
C0302859	Euthyroid goiter
C0568180	Lithium poisoning
C0740469	Albumin high
C0853776	Blood albumin increased
C0002893	Refractory anemia
C2826318	Refractory cytopenia with unilineage dysplasia
C0740441	Acute diarrhea
C0520679	Obstructive sleep apnea syndrome
C0542127	Oversedation
C0011875	Diabetic vascular disorder
C0555970	Nose infection NOS
C1142295	Drug-induced cough
C0025274	Menarche
C0391839	PCO2
C0558143	Skin maceration
C0006435	Chemical burn
C0441713	Chemical injury
C0025063	Mediastinum neoplasm
C0038833	Superior vena cava syndrome
C0427564	Platelet count normal
C0694575	Macular fibrosis
C0000814	Abortion missed
C0003128	Anovulation
C0008311	Cholangitis
C0011876	Cataract diabetic
C0013473	Eating disorder
C0014850	Oesophageal atresia
C0019569	Congenital megacolon
C0020224	Polyhydramnios
C0020305	Hydrops foetalis
C0027830	Neurofibroma
C0041408	Turner's syndrome
C0042131	Uterine disorder
C0080178	Spina bifida
C0151512	Injection site atrophy
C0151945	Cerebral venous thrombosis
C0155305	Optic ischaemic neuropathy
C0156384	Vaginal dysplasia
C0235833	Congenital diaphragmatic hernia
C0238425	Sickle cell anaemia with crisis
C0239302	Oestrogen low
C0239337	Limb deformity
C0241028	Sexually active
C0241357	Testosterone low
C0241619	Vaginal cyst
C0262666	Vulval abscess
C0266589	Ear malformation
C0266648	Blighted ovum
C0269188	Uterine cyst
C0269608	Antepartum hemorrhage
C0302592	Cervix carcinoma
C0428409	Progesterone levels
C0373705	Progesterone
C0476427	Smear cervix abnormal
C0549315	Benign hydatidiform mole
C0549609	Dysfunction adrenal
C0001621	Adrenal disorder
C0856148	Porphyria aggravated
C0877089	Vaginal mucosal blistering
C1384670	Single umbilical artery
C0919737	Platelet aggregation inhibition
C0263518	Telogen effluvium
C0406458	Diffuse alopecia
C0417744	Mosquito bite
C0677660	Emotional problems
C0857051	Bad dreams
C1744601	Heart rate abnormal
C0231592	Joint crepitation
C0521208	Accident at home
C0549234	Arthralgia aggravated
C0740401	Duodenal ulcer perforation
C0853926	Dyspepsia aggravated
C0856133	Back pain aggravated
C1535970	Blood count abnormal
C0235957	Muscle necrosis
C0270769	Radiation myelopathy
C0410158	Muscle damage
C0410256	Muscle injury
C0877009	Muscle fibrosis
C0013592	Ectropion
C0232132	Thready pulse
C0240840	Pulse pressure decreased
C0235472	Pulse abnormal
